[2026-03-16 12:27:04] [*] 울트라 패스트 수집 시작: 대상 3574건 (병렬:12)
[2026-03-16 12:27:07]  [1/3574] [성공] Anvers Anvers The Warrior... | 분포:True
[2026-03-16 12:27:07]  [3/3574] [성공] Alpha Domus Merlot - Cabe... | 분포:True
[2026-03-16 12:27:07]  [2/3574] [성공] Matrot Bourgogne Chardonn... | 분포:True
[2026-03-16 12:27:07]  [5/3574] [성공] l'Octavin Grenabar 2023... | 분포:True
[2026-03-16 12:27:07]  [8/3574] [성공] Celler Laurona 6 Vinyes d... | 분포:True
[2026-03-16 12:27:07]  [4/3574] [성공] Kumeu River Coddington Ch... | 분포:True
[2026-03-16 12:27:07]  [6/3574] [성공] Yellow Tail Pink Moscato... | 분포:True
[2026-03-16 12:27:07]  [9/3574] [성공] St. Michael-Eppan Weissbu... | 분포:True
[2026-03-16 12:27:07]  [12/3574] [성공] Vignerons de Buxy Montagn... | 분포:True
[2026-03-16 12:27:08]  [7/3574] [성공] Rocca di Castagnoli Poggi... | 분포:True
[2026-03-16 12:27:08]  [10/3574] [성공] 47 Anno Domini Raboso 194... | 분포:True
[2026-03-16 12:27:08]  [11/3574] [성공] Destiny Bay Vineyards Mys... | 분포:True
[2026-03-16 12:27:09]  [14/3574] [성공] Takapoto Estate Reserve C... | 분포:True
[2026-03-16 12:27:09]  [13/3574] [성공] Franz Hirtzberger Hochrai... | 분포:True
[2026-03-16 12:27:10]  [15/3574] [성공] Hogue Merlot 2002... | 분포:False
[2026-03-16 12:27:10]  [20/3574] [성공] Rockburn Tigermoth Riesli... | 분포:True
[2026-03-16 12:27:10]  [16/3574] [성공] Fuligni Rosso di Montalci... | 분포:True
[2026-03-16 12:27:10]  [17/3574] [성공] Robert-Denogent Les Sardi... | 분포:True
[2026-03-16 12:27:10]  [18/3574] [성공] Weinert Cavas de Weinert ... | 분포:True
[2026-03-16 12:27:10]  [22/3574] [성공] Casa Silva 3 Cepas Reserv... | 분포:False
[2026-03-16 12:27:10]  [19/3574] [성공] Franz Hirtzberger Pluris ... | 분포:True
[2026-03-16 12:27:10]  [21/3574] [성공] Domaine Poisot Père & Fil... | 분포:True
[2026-03-16 12:27:10]  [24/3574] [성공] Mitchelton Preece Caberne... | 분포:True
[2026-03-16 12:27:10]  [23/3574] [성공] Trinity Hill Homage Syrah... | 분포:True
[2026-03-16 12:27:11]  [26/3574] [성공] Sensi Testardo Sangiovese... | 분포:True
[2026-03-16 12:27:11]  [25/3574] [성공] Château Teyssier Puissegu... | 분포:True
[2026-03-16 12:27:11]  [28/3574] [성공] Gaja Sito Moresco Langhe ... | 분포:True
[2026-03-16 12:27:12]  [27/3574] [성공] Cavalleri Blanc de Blancs... | 분포:True
